comment_ID,issue_no,is_author,ld_label,word_divergence,involve_contributor_num,other_commenter,commenter_num,comment_num,reporter_response,self_repsonse,other_response,time_from_start,time_to_close,response_time,ld_num,ld_types,LD1,LD2,LD3,LD4,LD5,LD6
25066041,2371,,LD4,0.390140845,0,0,2,7,3,4,0,193,108,3722,2,2,1,0,0,1,0,0
25066183,2371,,N,0.384384384,0,0,2,6,3,3,0,193,108,3507,2,2,1,0,0,1,0,0
25068846,2371,Y,,0.532110092,3,3,2,5,2,2,3,193,108,465,2,2,1,0,0,1,0,0
25069257,2371,,LD1,0.53649635,0,0,2,4,2,2,0,193,108,510,1,1,0,0,0,1,0,0
25069281,2371,,N,0.52173913,0,0,2,3,2,1,0,193,108,483,1,1,0,0,0,1,0,0
25069700,2371,Y,,0.88,1,1,2,2,1,1,1,193,108,363,1,1,0,0,0,1,0,0
25070030,2371,,LD4,0.941176471,0,0,1,1,1,0,0,193,108,165,0,0,0,0,0,0,0,0
25070154,2371,Y,,0,0,0,0,0,0,0,0,193,108,,0,0,0,0,0,0,0,0
25684291,2371,,LD4,0.723684211,0,0,1,1,1,0,0,202,99,6855,0,0,0,0,0,0,0,0
25690519,2371,Y,,0,0,0,0,0,0,0,0,202,99,,0,0,0,0,0,0,0,0
25748669,2371,Y,,0.644444444,0,2,2,3,1,1,2,203,97,81912,0,0,0,0,0,0,0,0
25767266,2371,,N,0.228438228,0,0,2,8,4,4,0,204,96,1579,2,1,2,0,0,0,0,0
25767569,2371,Y,,0.227808327,0,4,2,7,3,3,4,204,96,1335,2,1,2,0,0,0,0,0
25767849,2371,,N,0.238304094,0,0,2,7,4,3,0,204,96,70862,2,1,2,0,0,0,0,0
25793208,2371,Y,,0.250205086,0,3,2,6,3,3,3,205,96,446,2,1,2,0,0,0,0,0
25793576,2371,,N,0.247048904,0,0,2,5,3,2,0,205,96,1060,2,1,2,0,0,0,0,0
25794521,2371,Y,,0.601694915,0,2,2,4,2,2,2,205,96,1632,2,1,2,0,0,0,0,0
25796051,2371,,LD1,0.613402062,0,0,2,3,2,1,0,205,96,9193,1,1,1,0,0,0,0,0
25803844,2371,Y,,0.648854962,0,1,2,2,1,1,1,205,95,166,1,1,1,0,0,0,0,0
25803978,2371,,LD1,0.647540984,0,0,1,1,1,0,0,205,95,1845,0,0,0,0,0,0,0,0
25805670,2371,Y,,0,0,0,0,0,0,0,0,205,95,,0,0,0,0,0,0,0,0
25899021,2371,,LD1,0,0,0,0,0,0,0,0,206,94,,0,0,0,0,0,0,0,0
32022115,2371,,LD2,0,0,0,0,0,0,0,0,300,0,,0,0,0,0,0,0,0,0
15315690,2370,,LD1,0.888888889,0,0,1,1,1,0,0,7,216,229,0,0,0,0,0,0,0,0
15315877,2370,Y,,0,0,0,0,0,0,0,0,7,216,,0,0,0,0,0,0,0,0
15715514,2370,,N,0,0,0,0,0,0,0,0,17,206,,0,0,0,0,0,0,0,0
14945989,2369,,N,0.528301887,6,6,2,14,8,0,6,1,1,1700,3,2,1,0,0,2,0,0
14946536,2369,,LD4,0.541450777,0,0,2,13,8,5,0,1,1,378,2,2,1,0,0,1,0,0
14946626,2369,,LD4,0.549333333,0,0,2,12,8,4,0,1,1,92,1,1,1,0,0,0,0,0
14946657,2369,Y,,0.551020408,4,4,2,11,7,7,4,1,1,126,1,1,1,0,0,0,0,0
14946664,2369,Y,,0.55,4,4,2,10,6,6,4,1,1,109,1,1,1,0,0,0,0,0
14946695,2369,,N,0.559726962,0,0,2,9,6,3,0,1,1,7,1,1,1,0,0,0,0,0
14946697,2369,Y,,0.579335793,3,3,2,8,5,5,3,1,1,154,1,1,1,0,0,0,0,0
14946714,2369,Y,,0.595238095,3,3,2,7,4,4,3,1,1,101,1,1,1,0,0,0,0,0
14946757,2369,,LD1,0.649038462,0,0,2,6,4,2,0,1,1,137,0,0,0,0,0,0,0,0
14946799,2369,Y,,0.677777778,2,2,2,5,3,3,2,1,1,418,0,0,0,0,0,0,0,0
14946862,2369,Y,,0.679012346,2,2,2,4,2,2,2,1,1,276,0,0,0,0,0,0,0,0
14946954,2369,,N,0.728813559,0,0,2,3,2,1,0,1,1,783,0,0,0,0,0,0,0,0
14947092,2369,,N,0.818181818,0,0,1,2,2,0,0,1,1,340,0,0,0,0,0,0,0,0
14947231,2369,Y,,0.857142857,0,0,1,1,1,1,0,1,1,,0,0,0,0,0,0,0,0
14962676,2369,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14926025,2368,,N,0,0,0,0,0,0,0,0,1,972,,0,0,0,0,0,0,0,0
14901440,2365,,LD1,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14916243,2365,Y,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14857280,2363,,N,0,0,0,0,0,0,0,0,1,16,,0,0,0,0,0,0,0,0
14933325,2363,,N,0.738255034,1,1,1,1,0,0,1,2,15,26794,1,1,0,0,1,0,0,0
14945002,2363,,LD3,0,0,0,0,0,0,0,0,2,15,,0,0,0,0,0,0,0,0
15603118,2363,,LD4,0,0,0,0,0,0,0,0,16,1,,0,0,0,0,0,0,0,0
15633389,2363,,LD5,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,0,0,0,0
14828384,2362,,LD4,0.84,0,0,2,2,1,1,0,1,797,243,1,1,0,0,0,1,0,0
14828487,2362,Y,,0.826086957,0,1,1,1,0,0,1,1,797,976,1,1,0,0,0,1,0,0
14828908,2362,,LD4,0,0,0,0,0,0,0,0,1,797,,0,0,0,0,0,0,0,0
14797647,2360,Y,,0.568,0,0,1,1,1,1,0,1,304,,0,0,0,0,0,0,0,0
14798211,2360,Y,,0,0,0,0,0,0,0,0,1,304,,0,0,0,0,0,0,0,0
15204256,2360,,LD4,0.965517241,0,0,1,1,1,0,0,9,296,13482,0,0,0,0,0,0,0,0
15213887,2360,Y,,0,0,0,0,0,0,0,0,9,296,,0,0,0,0,0,0,0,0
15351916,2360,Y,,0,0,0,0,0,0,0,0,12,293,,0,0,0,0,0,0,0,0
28301704,2360,,LD4,0,0,0,0,0,0,0,0,245,59,,0,0,0,0,0,0,0,0
32022081,2360,,LD5,0,0,0,0,0,0,0,0,304,0,,0,0,0,0,0,0,0,0
14767460,2359,,N,0.925925926,0,0,1,1,1,0,0,1,1,9429,0,0,0,0,0,0,0,0
